Internal Product Number,Name,Company,Company Product Number,Quantity Ordered,Date Ordered,Date Received
10600,"Trash Can Dolly, Square 55 Gallon",KSS/Silverback,OC-97000,18,,
10700,"Wastebasket, Large 41 1/4 qts",Bostwick,758787,24,,
20500,Toilet Seat Covers,Network,47046,3,,
20700,Wypall L30 Wiper Jumbo 950',Mellocraft,KCC05841,20,,
31000,Ultra 2000 Degreaser,O&M Paper,13605,20,,
35400,Glybet III Disinfectant Spray,O&M Paper,108623,204,,
35800,Cream Cleanser,Bostwick,430,96,,
36200,Deep Blue,O&M Paper,230B09023,48,,
40100,"Floor Sealer, Betco",O&M Paper,60705,33,,
40300,"Pad, 17"" Black Stripping",O&M Paper,400117,50,,
40800,"Pad, 17"" Green Scrubbing",O&M Paper,400317,25,,
41100,"Pad, 20"" Black Stripping",Mellocraft,PRO400120,50,,
41200,"Pad, 20"" Green Scrubbing Pad",Mellocraft,PRO400320,20,,
41300,"Pad, 20"" Tan Natural Blend Hog's Hair",Mellocraft,PRO401820,20,,
41400,"Heavy-Duty Utility Pad, Brown",Mellocraft,BWK403,120,,
41600,Scraper/Putty knife (metal),Mellocraft,TOL-280107,24,,
41700,Doodle Bug Swivel Holder,Mellocraft,TOL280157,20,,
41800,Husky Low Odor Floor Strpper,Bostwick,HSK-708-01,6,,
45100,"Metal/Brass Polish, Flitz",Mellocraft,527904,120,,
50000,"Carpet Shampoo, Gallon",Bostwick,HSK-110-05,4,,
50100,"Carpet Shampoo, Quarts",Bostwick,HSK-1100-03,12,,
50300,"Carpet Refresher, Aerosol",Mellocraft,SPA641000,84,,
51000,Chewing Gum Remover,Mellocraft,SPA644500,120,,
51100,Vandal Mark Remover/Graffiti Remover,Bostwick,910,48,,
51300,"Insecticide, Ant & Roach",Mellocraft,SPA690300,180,,
51400,"Insecticide, Wasp & Hornet",Mellocraft,SPA682000,188,,
51500,Spider & Scorpion Killer,Bostwick,296104,120,,
51700,Oven and Grill Cleaner ,Mellocraft,SPA628000,48,,
60100,"Broom, Lobby (Sweep)",Mellocraft,MAL055901,600,,
60200,"Broom, 18"" Push",Mellocraft,BWK20618,78,,
60300,"Brush, Detail",Mellocraft,MAL2390,100,,
60400,Angle Deck Brush,KSS/Silverback,OC-96619,42,,
60500,"Dust Pan, Lobby ",KSS/Silverback,IMP-2600,300,,
60600,"Handles, Chuck (tapered end) ",Mellocraft,GOLHMT151660,150,,
60700,"Handles, Insert Screw",Mellocraft,GOLHWM118SF,250,,
61000,"Dusters, webster style",O&M Paper,36340414,300,,
61200,Mop Bucket/Wringer,O&M Paper,3690404,70,,
61300,"Mop head, 24 Ounce, White",Mellocraft,GOLAWM7724,550,,
61400,"Mop head, 24"" Dust",Mellocraft,GOLAJU24ITW,24,,
61500,"Dust Mop Frame 24""",Mellocraft,GOLFQC24,10,,
61600,"Mop head, 36"" Dust",Mellocraft,GOLAJU36ITW,24,,
61700,"Dust Mop Frame 36""",Mellocraft,GOLFQC36,24,,
61900,"Squeegee, 30"" Foam  Rubber",KSS/Silverback,OC-96830-S,120,,
62000,"Squeegee, 12"" Window",Bostwick,856932,24,,
70400,Oil & Grease Absorbant/Oil Dry,Bostwick,359343,40,,
70600,Closed For Cleaning Sign,Mellocraft,RCPFG9S1600YEL,50,,
80000,"Spray Bottle, 32 Ounce",O&M Paper,5032WG,5000,,
80100,Spray Nozzles,Mellocraft,TOL110416,5500,,
80200,"Garden Hose, 50' Green",Bostwick,16721,40,,
80300,"Garden Hose, 100' Green",Bostwick,857050,50,,
80400,"Hot Water Hose, 50' Red",Bostwick,328618,10,,
80500,"Hose Nozzle, Pistol Grip",Bostwick,457809,20,,
80600,E-Z Grabbers,Bostwick,857360,204,,
80800,Skimmer Pole,Bostwick,857114,12,,
81000,Stretch Film,Staples,,4,,
81200,"Carpet Runner. 4' x 6', Regular",KSS/Silverback,GS 0046BK,15,,
81300,"Carpet Runner, 3' x 14' , Regular",KSS/Silverback,GSR0036BKC,15,,
81400,Scraper/Putty knife (plastic),Bostwick,125237,100,,
81500,Sponge/Scrubber,Bostwick,355500,65,,
81600,Tongs,SanBay,WNAA7TSBL,48,,
81700,"Bucket, 10 Quart Plastic",Bostwick,730394,200,,
81800,MaxiClean Eraser Sponge,Online,,100,,
90200,Toilet Bowl Plunger,Mellocraft,TOL280174,100,,
90500,Sanitary Napkin Receptacle Bag,Mellocraft,HOSKL,50,,
90600,Urinal Screens,Network,149736,350,,
90900,"Ki-Vac, Disinfectant",Mellocraft,KV-KBOSHK,240,,
91000,"Ki-Vac, Rinse Agent (KaiDri)",KSS/Silverback,KV-KDRIQ,276,,
100000,"Wastebasket, Small 28 1/8 qts",,,36,,
100300,Wypall L30 Wiper 160/6bx,,,40,,
101200,"Mop Head, 72"" Dust",,,12,,
101300,"Dust Mop Frame 72""",,,2,,
101400,Counter Brush,,,24,,
101600,"Combination Lock, Seasame",,,10,,
101800,"Hose Nozzle, Brass",,,20,,
102500,2 Gal Weed Sprayer,,,75,,
102700,Pink Soap ,,,40,,
