Req Number,Department,Date,Item #,Item Quantity
1,3000,738159,10100,1
2,3000,738159,20000,1
3,3000,738159,61300,4
4,4005,738159,50300,2
5,9000,738159,81100,1
6,2256,738160,10200,1
7,2256,738160,100300,6
8,4005,738160,41400,10
9,3000,738160,60900,1
10,3000,738160,61400,2
11,3000,738160,61500,1
12,4005,738160,60900,1
13,4005,738160,61600,2
14,2256,738160,60100,1
15,4005,738161,40100,1
16,4005,738161,40200,1
17,6699,738165,35000,1
18,6699,738165,40300,2
19,6699,738165,90200,10
20,3000,738165,20200,1
21,5000,738165,20200,1
22,3500,738165,20200,1
23,4005,738165,10000,1
24,4005,738165,10100,1
25,4005,738165,10200,1
26,2256,738165,80300,1
27,2256,738165,80500,1
28,2256,738165,61800,2
29,2256,738165,60600,2
30,6500,738167,20000,1
31,6500,738167,20200,1
32,6500,738167,30000,4
33,6500,738167,75000,1
34,6500,738167,75100,1
35,6500,738167,75400,1
36,6500,738167,61300,3
37,6500,738167,91100,1
38,6900,738167,61300,1
39,6900,738167,60700,1
40,6900,738167,61200,1
41,2256,738168,20000,1
42,3000,738168,20000,1
43,3000,738168,10000,2
44,4005,738168,10200,1
45,4005,738168,102600,4
46,4005,738169,41100,4
47,4005,738174,35000,6
48,7500,738174,61400,12
49,7500,738174,61600,12
50,3000,738174,51100,4
51,4005,738180,40200,1
52,4005,738180,40300,1
53,4005,738180,41100,5
54,4005,738182,50000,1
55,4005,738182,35000,1
56,3001,738186,60000,2
57,3001,738186,60500,2
58,3001,738186,30000,4
59,3001,738186,20000,1
60,4005,738186,50300,1
61,6900,738187,90100,6
62,2256,738188,10000,1
63,2256,738188,10100,1
64,2256,738188,102600,1
65,2256,738193,81100,2
66,6782,738193,20100,2
67,6782,738193,20200,6
68,6782,738193,30000,8
69,6782,738193,60800,4
70,6782,738193,80000,84
71,6900,738194,20200,504
72,6900,738194,20300,24
73,6900,738194,30000,448
74,6900,738194,35300,36
75,9000,738194,20100,2
76,4005,738195,90500,2
77,4005,738201,20200,2
78,3000,738201,20200,2
79,3500,738201,20000,1
80,3500,738201,100100,1
81,5000,738201,20000,2
82,5000,738201,10000,1
83,4005,738201,80900,6
84,5000,738201,20200,2
85,3001,738201,20100,1
86,6900,738201,20000,165
87,6900,738201,35200,2
88,2345,738204,35000,6
89,2256,738204,20000,3
90,3000,738204,61300,12
91,5000,738204,20400,1
92,2256,738204,30000,8
93,2256,738204,10000,1
94,4005,738209,61300,4
95,4005,738209,60100,4
96,3000,738209,20500,1
97,2345,738214,20000,2
98,2345,738214,20300,1
99,4135,738214,20200,1
100,2256,738214,30000,4
101,2256,738214,80400,2
102,2256,738214,80000,1
103,2256,738214,80100,1
104,2256,738214,81500,1
105,2256,738214,70500,2
106,3000,738214,81100,2
107,3000,738214,81100,1
108,4005,738214,35000,6
109,4005,738214,61000,2
110,3000,738214,61000,1
111,4005,738214,80000,6
112,4005,738214,80100,6
113,4005,738214,70000,10
114,4005,738214,70100,10
115,4005,738214,70200,10
116,4005,738214,70300,10
117,4005,738214,60200,1
118,4005,738214,60800,1
119,4005,738214,90200,3
120,3001,738215,20100,2
121,6000,738215,20000,1
122,4135,738215,20200,1
123,7200,738215,20000,1
124,5612,738215,10100,2
125,4005,738215,20300,1
126,4005,738215,80000,1
127,4005,738215,80100,1
128,4005,738215,60800,1
129,4005,738215,61000,1
130,9000,738215,20100,1
131,2256,738215,10100,1
132,4005,738217,20000,2
133,2256,738217,20300,1
134,4005,738217,80000,1
135,4005,738217,80100,1
136,4005,738222,35700,6
137,2256,738222,70400,10
138,2256,738222,75000,24
139,2256,738222,75100,13
140,2256,738222,75300,32
141,2256,738222,75400,13
142,6000,738222,20200,1
143,4005,738223,70200,10
144,4005,738223,60300,3
145,7611,738223,60700,2
146,7611,738223,61300,3
147,7611,738223,40000,1
148,2345,738224,90500,1
149,4005,738224,35600,3
150,4005,738224,80000,2
151,4005,738224,80100,2
152,4005,738224,62000,2
153,4005,738224,60800,2
154,2345,738228,10100,1
155,5000,738228,10100,1
156,9000,738228,90600,12
157,4005,738228,80000,3
158,4005,738228,80100,4
159,4005,738228,35700,3
160,4005,738228,45000,1
161,4005,738229,10000,7
162,4005,738229,90500,20
163,4005,738229,20500,6
164,2345,738229,10000,1
165,9000,738229,10000,1
166,4005,738229,70000,130
167,4005,738229,70100,170
168,4005,738229,70200,170
169,4005,738229,70300,170
170,4005,738229,20500,16
171,4005,738229,90700,10
172,9000,738229,20100,1
173,9000,738229,100800,1
174,2000,738230,61000,2
175,2000,738230,60800,2
176,2256,738230,80400,2
177,4111,738230,10000,3
178,4111,738230,10100,3
179,4111,738230,10200,3
180,4111,738230,20000,4
181,4111,738230,45000,12
182,4111,738230,35500,4
183,4111,738230,35600,6
184,4111,738230,70200,10
185,4111,738230,101900,4
186,4111,738230,102000,25
187,6699,738230,20300,120
188,6699,738230,20400,96
189,6699,738230,20000,51
190,6699,738230,10000,60
191,6699,738230,10200,100
192,6699,738230,20200,20
193,6699,738230,60000,4
194,6699,738230,61300,12
195,6699,738230,80000,84
196,6699,738230,80100,200
197,6699,738230,90300,2
198,6699,738230,90500,10
199,6699,738230,91100,12
200,6699,738230,35600,12
201,4006,738230,20200,432
202,4006,738230,10200,100
203,4005,738230,70000,30
204,4005,738230,70100,30
205,4005,738230,70200,30
206,4005,738230,70300,30
207,4005,738230,90500,6
208,4005,738230,90700,3
209,4005,738230,20500,3
210,4005,738230,80000,1
211,4005,738230,80100,1
212,4005,738230,35200,1
213,4005,738230,20000,3
214,3000,738231,61300,3
215,4005,738231,60800,7
216,4005,738231,61000,4
217,4005,738231,80000,4
218,4005,738231,80100,4
219,4111,738231,30000,4
220,4111,738231,60600,4
221,4111,738231,60800,6
222,4111,738231,61800,5
223,4111,738231,62000,6
224,2500,738231,80000,7
225,2500,738231,80100,7
226,4005,738236,35000,3
227,6900,738237,102100,2
228,7500,738237,60000,6
229,7500,738237,10100,4
230,7500,738237,70200,30
231,7500,738237,70300,30
232,7500,738237,20300,1
233,7500,738237,61300,6
234,3000,738237,102100,1
235,4005,738237,80000,86
236,4005,738237,80100,86
237,4005,738237,35600,4
238,4005,738237,10200,8
239,4005,738237,20000,2
240,4005,738237,20200,1
241,4005,738237,10000,1
242,4005,738237,30000,4
243,4005,738237,90600,24
244,6632,738237,75100,15
245,4005,738237,80000,2
246,4005,738237,80100,2
247,4005,738237,80000,7
248,4005,738237,80100,9
249,4005,738237,45000,4
250,6699,738237,75000,3
251,2256,738237,20000,2
252,2256,738237,20200,1
253,5000,738237,20000,1
254,2256,738237,20000,2
255,2256,738237,20200,1
256,4005,738237,20300,1
257,4005,738237,30000,8
258,4005,738237,10200,4
259,4005,738237,10000,1
260,4005,738237,80000,4
261,4005,738237,80100,5
262,3000,738237,80600,2
263,3000,738237,20200,1
264,3000,738237,80900,1
265,4000,738237,10100,1
266,4000,738237,60800,1
267,4000,738237,35600,1
268,3000,738237,10000,1
269,7500,738237,10000,1
270,5612,738237,35600,1
271,4005,738237,20000,1
272,4113,738237,10700,1
273,4113,738237,100000,2
274,3000,738237,51600,12
275,3000,738237,41600,2
276,3000,738237,81400,2
277,3000,738237,81500,3
278,3000,738237,60300,2
279,3000,738237,101100,36
280,4005,738237,40000,1
281,4005,738237,40100,1
282,4005,738237,80000,2
283,4005,738237,80100,2
284,4005,738237,10300,16
285,4005,738237,10200,25
286,4005,738237,70100,40
287,4005,738237,70200,40
288,4005,738237,70300,40
289,6900,738237,60700,1
290,4005,738239,80000,4
291,4005,738239,80100,4
292,6900,738250,10000,50
293,6900,738250,10100,100
294,6900,738250,10200,100
295,4113,738250,80000,1
296,4113,738250,80100,1
297,4113,738250,10700,1
298,4005,738250,10200,2
299,3000,738251,60800,1
300,3000,738251,61000,1
301,2000,738251,10100,1
302,2000,738251,10200,1
303,4005,738251,80200,1
304,6632,738251,20400,25
305,4005,738251,10200,1
306,4005,738251,90800,1
307,4005,738251,90900,1
308,6632,738251,80000,7
309,6632,738251,80100,7
310,4005,738251,10200,2
311,2000,738251,61300,3
312,4005,738251,103300,3
313,4005,738251,61300,1
314,4005,738251,20000,2
315,6782,738251,45000,24
316,6782,738251,51300,24
317,4005,738251,10200,2
318,4005,738251,70300,1
319,2256,738251,20300,1
320,2256,738251,20000,5
321,2256,738251,10100,1
322,3000,738251,61300,1
323,3000,738251,80900,1
324,4113,738251,80100,6
325,4005,738251,35000,1
326,4005,738251,80100,1
327,6632,738251,20300,20
328,6632,738251,10000,10
329,6632,738251,20400,6
330,6632,738251,10200,10
331,6632,738251,70100,20
332,6632,738251,70200,20
333,6632,738251,70300,20
334,6699,738251,30000,40
335,9000,738251,30100,1
336,4005,738251,80200,1
337,4005,738251,41600,2
338,4005,738251,51000,1
339,3000,738251,103500,1
340,3000,738251,103600,1
341,6500,738251,60200,4
